,CODI EOI,NOM ESTACIO,DATA,MAGNITUD,CONTAMINANT,UNITATS,TIPUS ESTACIO,AREA URBANA,CODI INE,MUNICIPI,CODI COMARCA,NOM COMARCA,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,24h,ALTITUD,LATITUD,LONGITUD,Georeferència
1127,43162001,Vandellòs (Els Dedalts),25/03/2023,8,NO2,µg/m3,background,rural,43162,Vandellòs i l'Hospitalet de l',8,Baix Camp,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,,,737,41.00808,0.83110964,
18421,8202001,Sant Celoni,06/02/2023,1,SO2,µg/m3,background,suburban,8202,Sant Celoni,41,Vallès Oriental,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,145,41.6891,2.495701,POINT (2.495701 41.6891)
565,25120001,Lleida,26/03/2023,1,SO2,µg/m3,traffic,urban,25120,Lleida,33,Segrià,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,220,41.615818,0.6157005,
6928,25196001,Montsec,09/03/2023,6,CO,mg/m3,background,rural,25196,Sant Esteve de la Sarga,25,Pallars Jussà,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,1570,42.05132,0.7295987,POINT (0.7295987 42.05132)
1426,8019043,Barcelona (Eixample),24/03/2023,6,CO,mg/m3,traffic,urban,8019,Barcelona,13,Barcelonès,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.7,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.7,0.3,0.4,0.4,0.5,0.4,0.4,26,41.385315,2.1537998,
23010,43123005,Reus,24/01/2023,12,NOX,µg/m3,traffic,suburban,43123,Reus,8,Baix Camp,3.0,2.0,2.0,1.0,2.0,4.0,7.0,14.0,39.0,32.0,16.0,22.0,21.0,18.0,13.0,14.0,33.0,43.0,68.0,77.0,126.0,104.0,9.0,6.0,102,41.150803,1.1202013,POINT (1.1202013 41.150803)
11819,8015021,Badalona,24/02/2023,7,NO,µg/m3,background,urban,8015,Badalona,13,Barcelonès,2.0,2.0,1.0,1.0,1.0,2.0,2.0,7.0,10.0,12.0,10.0,14.0,17.0,9.0,12.0,8.0,7.0,8.0,9.0,7.0,7.0,6.0,4.0,1.0,7,41.443985,2.2378986,POINT (2.2378986 41.443985)
2530,8307012,Vilanova i la Geltrú,21/03/2023,1,SO2,µg/m3,traffic,suburban,8307,Vilanova i la Geltrú,17,Garraf,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,41.218987,1.7211995,
5317,43103001,Perafort (Puigdelfí),13/03/2023,7,NO,µg/m3,industrial,rural,43103,Perafort,36,Tarragonès,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,9.0,7.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,97,41.193604,1.2367008,POINT (1.2367008 41.193604)
9377,43171002,Vila-seca (IES Vila-seca),02/03/2023,65,H2S,µg/m3,background,suburban,43171,Vila-seca,36,Tarragonès,1.5,1.6,1.5,1.6,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.5,1.7,1.5,1.7,1.6,1.4,1.5,1.5,1.9,1.8,1.5,1.4,1.4,33,41.102505,1.1494449,POINT (1.1494449 41.102505)
278,8305006,Vilafranca del Penedès,27/03/2023,14,O3,µg/m3,background,suburban,8305,Vilafranca del Penedès,3,Alt Penedès,89.0,87.0,86.0,85.0,,,,,,,,,,,,,,,,,,,,,192,41.346813,1.6865987,
22102,43148003,Tarragona (Bonavista),27/01/2023,9,PM2.5,µg/m3,industrial,suburban,43148,Tarragona,36,Tarragonès,8.0,7.0,7.0,8.0,8.0,9.0,9.0,11.0,17.0,13.0,7.0,12.0,6.0,5.0,4.0,4.0,4.0,5.0,7.0,9.0,11.0,7.0,8.0,4.0,39,41.11591,1.1919986,POINT (1.1919986 41.11591)
16244,8169008,El Prat de Llobregat (Jardins de la Pau),12/02/2023,1,SO2,µg/m3,background,suburban,8169,"Prat de Llobregat, el",11,Baix Llobregat,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,7.0,5.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5,41.321487,2.0977015,POINT (2.0977015 41.321487)
10662,8022006,Berga,27/02/2023,7,NO,µg/m3,background,suburban,8022,Berga,14,Berguedà,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,4.0,4.0,7.0,16.0,18.0,5.0,11.0,14.0,7.0,2.0,661,42.0979,1.8482014,POINT (1.8482014 42.0979)
24580,8252006,Barberà del Vallès,20/01/2023,8,NO2,µg/m3,background,urban,8252,Barberà del Vallès,40,Vallès Occidental,2.0,2.0,2.0,9.0,20.0,35.0,47.0,52.0,52.0,55.0,48.0,30.0,19.0,17.0,12.0,23.0,20.0,36.0,44.0,49.0,46.0,67.0,57.0,66.0,131,41.512684,2.1253984,POINT (2.1253984 41.512684)
20987,8279011,Terrassa,30/01/2023,6,CO,mg/m3,traffic,urban,8279,Terrassa,40,Vallès Occidental,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.4,0.6,0.8,1.0,1.2,0.7,0.2,0.2,0.2,0.2,0.2,0.2,0.2,109,41.556114,2.0073977,POINT (2.0073977 41.556114)
2678,43148022,Tarragona (Universitat Laboral),20/03/2023,7,NO,µg/m3,industrial,suburban,43148,Tarragona,36,Tarragonès,1.0,1.0,1.0,1.0,1.0,1.0,3.0,15.0,22.0,12.0,8.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5,41.103706,1.2007992,
15215,8184006,Rubí,14/02/2023,6,CO,mg/m3,background,urban,8184,Rubí,40,Vallès Occidental,,,,,,,,,,,,,,,,,,,,,,,,,171,41.492115,2.0424972,POINT (2.0424972 41.492115)
2925,8113007,Manresa,20/03/2023,14,O3,µg/m3,traffic,urban,8113,Manresa,7,Bages,45.0,34.0,37.0,24.0,33.0,19.0,11.0,7.0,7.0,16.0,41.0,58.0,63.0,70.0,83.0,85.0,89.0,84.0,74.0,67.0,59.0,60.0,54.0,48.0,238,41.730293,1.8253003,
14681,8074005,Cubelles (Poliesportiu),16/02/2023,12,NOX,µg/m3,background,suburban,8074,Cubelles,17,Garraf,29.0,33.0,22.0,15.0,14.0,15.0,16.0,24.0,38.0,43.0,43.0,26.0,16.0,18.0,15.0,14.0,16.0,26.0,55.0,51.0,42.0,30.0,23.0,20.0,5,41.202198,1.6722002,POINT (1.6722002 41.202198)
1675,8205002,Sant Cugat del Vallès,23/03/2023,7,NO,µg/m3,background,urban,8205,Sant Cugat del Vallès,40,Vallès Occidental,2.0,2.0,2.0,2.0,2.0,6.0,7.0,39.0,24.0,7.0,7.0,8.0,5.0,5.0,4.0,3.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,113,41.476814,2.0889983,
10925,8019058,Barcelona (Observatori Fabra),26/02/2023,14,O3,µg/m3,background,suburban,8019,Barcelona,13,Barcelonès,49.0,60.0,61.0,58.0,64.0,65.0,65.0,62.0,65.0,61.0,58.0,60.0,59.0,61.0,67.0,63.0,69.0,75.0,73.0,77.0,78.0,85.0,81.0,69.0,415,41.41843,2.1238973,POINT (2.1238973 41.41843)
22225,17013001,Begur,26/01/2023,8,NO2,µg/m3,background,rural,17013,Begur,10,Baix Empordà,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,6.0,7.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,200,41.95867,3.2129009,POINT (3.2129009 41.95867)
22306,25196001,Montsec,26/01/2023,6,CO,mg/m3,background,rural,25196,Sant Esteve de la Sarga,25,Pallars Jussà,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1570,42.05132,0.7295987,POINT (0.7295987 42.05132)
6180,8301004,Viladecans - Atrium,11/03/2023,14,O3,µg/m3,background,suburban,8301,Viladecans,11,Baix Llobregat,80.0,81.0,80.0,80.0,78.0,75.0,77.0,75.0,70.0,66.0,63.0,63.0,66.0,66.0,67.0,69.0,68.0,66.0,55.0,66.0,60.0,53.0,41.0,36.0,14,41.31335,2.0136087,POINT (2.0136087 41.31335)
10279,8019044,Barcelona (Gràcia - Sant Gervasi),28/02/2023,10,PM10,µg/m3,traffic,urban,8019,Barcelona,13,Barcelonès,12.0,12.0,8.0,9.0,7.0,10.0,9.0,10.0,16.0,17.0,13.0,21.0,23.0,23.0,21.0,19.0,50.0,48.0,19.0,20.0,20.0,22.0,20.0,15.0,57,41.398724,2.1533988,POINT (2.1533988 41.398724)
608,17184001,Santa Pau,26/03/2023,12,NOX,µg/m3,background,rural,17184,Santa Pau,19,Garrotxa,3.0,,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,496,42.14328,2.5102024,
12757,43004005,Alcanar,21/02/2023,7,NO,µg/m3,industrial,rural,43004,Alcanar,22,Montsià,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,7,40.552807,0.53000027,POINT (0.53000027 40.552807)
9259,8121013,Mataró,03/03/2023,7,NO,µg/m3,background,urban,8121,Mataró,21,Maresme,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,13.0,7.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,6.0,2.0,6.0,4.0,40,41.547176,2.4432983,POINT (2.4432983 41.547176)
1023,8102005,Igualada,25/03/2023,9,PM2.5,µg/m3,industrial,suburban,8102,Igualada,6,Anoia,,,,,,,,,,,,,,,,,,,,,,,,,311,41.5784,1.6230061,
23012,8205002,Sant Cugat del Vallès,24/01/2023,14,O3,µg/m3,background,urban,8205,Sant Cugat del Vallès,40,Vallès Occidental,3.0,8.0,18.0,20.0,27.0,29.0,27.0,16.0,13.0,19.0,29.0,23.0,22.0,20.0,23.0,25.0,22.0,13.0,8.0,4.0,5.0,4.0,3.0,5.0,113,41.476814,2.0889983,POINT (2.0889983 41.476814)
14479,8125002,Montcada i Reixac,16/02/2023,14,O3,µg/m3,traffic,suburban,8125,Montcada i Reixac,40,Vallès Occidental,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,9.0,11.0,17.0,34.0,51.0,46.0,23.0,28.0,6.0,1.0,1.0,1.0,34,41.48197,2.1882975,POINT (2.1882975 41.48197)
19942,8263001,Sant Vicenç dels Horts (Ribot),02/02/2023,8,NO2,µg/m3,background,suburban,8263,Sant Vicenç dels Horts,11,Baix Llobregat,59.0,46.0,44.0,37.0,37.0,51.0,52.0,58.0,62.0,62.0,40.0,35.0,34.0,27.0,28.0,26.0,25.0,51.0,52.0,56.0,66.0,62.0,55.0,52.0,38,41.39219,2.0097985,POINT (2.0097985 41.39219)
19121,25196001,Montsec,04/02/2023,6,CO,mg/m3,background,rural,25196,Sant Esteve de la Sarga,25,Pallars Jussà,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,1570,42.05132,0.7295987,POINT (0.7295987 42.05132)
10197,8124009,Mollet del Vallès,28/02/2023,10,PM10,µg/m3,traffic,suburban,8124,Mollet del Vallès,41,Vallès Oriental,13.0,12.0,11.0,9.0,9.0,9.0,9.0,11.0,14.0,15.0,13.0,15.0,12.0,14.0,15.0,14.0,18.0,17.0,20.0,13.0,17.0,22.0,22.0,21.0,90,41.549183,2.2120984,POINT (2.2120984 41.549183)
9362,8102005,Igualada,02/03/2023,14,O3,µg/m3,industrial,suburban,8102,Igualada,6,Anoia,34.0,37.0,40.0,38.0,42.0,48.0,48.0,38.0,37.0,44.0,51.0,52.0,62.0,65.0,72.0,74.0,72.0,64.0,56.0,44.0,13.0,19.0,13.0,26.0,311,41.5784,1.6230061,POINT (1.6230061 41.5784)
24728,43047001,Constantí,19/01/2023,14,O3,µg/m3,industrial,suburban,43047,Constantí,36,Tarragonès,74.0,76.0,73.0,73.0,73.0,69.0,67.0,68.0,66.0,66.0,69.0,68.0,68.0,69.0,70.0,71.0,67.0,61.0,65.0,67.0,67.0,67.0,68.0,65.0,56,41.15493,1.2177014,POINT (1.2177014 41.15493)
21262,8283004,Tona (Zona Esportiva),29/01/2023,8,NO2,µg/m3,background,rural,8283,Tona,24,Osona,4.0,12.0,15.0,12.0,12.0,8.0,6.0,8.0,14.0,12.0,12.0,10.0,6.0,5.0,5.0,4.0,4.0,6.0,10.0,10.0,10.0,13.0,12.0,9.0,620,41.84666,2.2175014,POINT (2.2175014 41.84666)
13245,17079003,Girona (Escola de Música),20/02/2023,6,CO,mg/m3,traffic,urban,17079,Girona,20,Gironès,0.7,0.6,0.6,0.6,0.5,0.5,0.5,0.7,0.8,0.7,0.6,0.4,0.4,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.7,0.6,0.7,0.5,73,41.97638,2.8165,POINT (2.8165 41.97638)
12917,8121013,Mataró,21/02/2023,8,NO2,µg/m3,background,urban,8121,Mataró,21,Maresme,16.0,19.0,12.0,13.0,27.0,41.0,75.0,87.0,90.0,81.0,66.0,54.0,58.0,65.0,33.0,22.0,12.0,21.0,49.0,58.0,41.0,28.0,19.0,13.0,40,41.547176,2.4432983,POINT (2.4432983 41.547176)
17114,43060003,Flix,09/02/2023,331,Hg,ng/m3,industrial,suburban,43060,Flix,30,Ribera d¿Ebre,8.3,11.0,8.2,22.7,7.7,9.7,10.6,12.1,2.4,,,,,,,,,,,,,,,,90,41.229984,0.5469444,POINT (0.5469444 41.229984)
3763,8263001,Sant Vicenç dels Horts (Ribot),18/03/2023,14,O3,µg/m3,background,suburban,8263,Sant Vicenç dels Horts,11,Baix Llobregat,48.0,41.0,39.0,32.0,28.0,26.0,18.0,14.0,21.0,39.0,62.0,77.0,81.0,69.0,76.0,98.0,99.0,98.0,86.0,51.0,38.0,51.0,44.0,33.0,38,41.39219,2.0097985,
18770,43123005,Reus,05/02/2023,7,NO,µg/m3,traffic,suburban,43123,Reus,8,Baix Camp,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,102,41.150803,1.1202013,POINT (1.1202013 41.150803)
3455,43047001,Constantí,18/03/2023,12,NOX,µg/m3,industrial,suburban,43047,Constantí,36,Tarragonès,10.0,9.0,7.0,8.0,10.0,12.0,15.0,21.0,20.0,22.0,15.0,16.0,14.0,11.0,16.0,7.0,6.0,8.0,11.0,24.0,47.0,42.0,28.0,19.0,56,41.15493,1.2177014,
